material_id,pretty_formula,work_function,miller_index,surface_energy,fermi_energy,structure_type,symmetry_symbol,atomic_density_3d,c_over_a_ratio,b_over_a_ratio,lattice_alpha,lattice_beta,lattice_gamma,atomic_number,atomic_radius,1st_ionization_energy_eV,electron_affinity_eV,electronegativity,valence_electrons,Youngs_modulus,shear_modulus,bulk_modulus
mp-11,As,4.709755154160261,"[2, 1, -3, 0]",0.5429999288725361,-0.1237,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
mp-11,As,4.400107412114714,"[2, 1, -3, 2]",0.48147184769480367,0.1057,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
mp-11,As,4.701058267057034,"[1, 0, -1, 2]",0.5819514391116551,-0.428,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
mp-11,As,4.313667687782719,"[2, 2, -4, 1]",0.4153120108640407,0.2027,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
mp-11,As,4.538517641221441,"[2, 0, -2, 1]",0.5287391048379857,-0.1073,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
mp-11,As,4.4390237743524885,"[0, 0, 0, 1]",0.09090330406788279,0.2251609,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
mp-11832,Cs,1.9341461452753728,"[1, 0, -1, 0]",0.06344907835471483,-0.72541157,HCP,P6_3/mmc,0.008050550095714402,1.6633075634837744,1.0,90.0,90.0,120.00000000000001,55,2.6,3.89390572743,0.471598338,0.79,1,1.7,,1.6
mp-11832,Cs,2.6267708966810317,"[1, 1, -2, 1]",0.07820246085373198,-1.4896,HCP,P6_3/mmc,0.008050550095714402,1.6633075634837744,1.0,90.0,90.0,120.00000000000001,55,2.6,3.89390572743,0.471598338,0.79,1,1.7,,1.6
mp-11832,Cs,2.6267708966810317,"[2, 1, -3, 2]",0.07504786644576271,-1.4896,HCP,P6_3/mmc,0.008050550095714402,1.6633075634837744,1.0,90.0,90.0,120.00000000000001,55,2.6,3.89390572743,0.471598338,0.79,1,1.7,,1.6
mp-11832,Cs,1.3829904061495615,"[2, 1, -3, 1]",0.0761885132707409,-0.45334299,HCP,P6_3/mmc,0.008050550095714402,1.6633075634837744,1.0,90.0,90.0,120.00000000000001,55,2.6,3.89390572743,0.471598338,0.79,1,1.7,,1.6
mp-11832,Cs,1.9449295301560339,"[1, 0, -1, 2]",0.07215564539750216,-0.72487073,HCP,P6_3/mmc,0.008050550095714402,1.6633075634837744,1.0,90.0,90.0,120.00000000000001,55,2.6,3.89390572743,0.471598338,0.79,1,1.7,,1.6
mp-11832,Cs,1.6159122287262078,"[2, 1, -3, 0]",0.08338733707629231,-0.42996505,HCP,P6_3/mmc,0.008050550095714402,1.6633075634837744,1.0,90.0,90.0,120.00000000000001,55,2.6,3.89390572743,0.471598338,0.79,1,1.7,,1.6
mp-11832,Cs,1.7912174432830579,"[1, 1, -2, 0]",0.07484834780479786,-0.45161239,HCP,P6_3/mmc,0.008050550095714402,1.6633075634837744,1.0,90.0,90.0,120.00000000000001,55,2.6,3.89390572743,0.471598338,0.79,1,1.7,,1.6
mp-11832,Cs,2.003369796243841,"[0, 0, 0, 1]",0.06549765858665602,-0.73602184,HCP,P6_3/mmc,0.008050550095714402,1.6633075634837744,1.0,90.0,90.0,120.00000000000001,55,2.6,3.89390572743,0.471598338,0.79,1,1.7,,1.6
mp-122,Ba,1.897752526069756,"[2, 1, 0]",0.3394814232468799,-0.2186,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.236201922410456,"[1, 1, 1]",0.38667336690035103,-0.2737,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.197302839372621,"[2, 2, 1]",0.37287470421562224,-0.2823,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.2450426283576252,"[3, 1, 0]",0.34789791764393985,-0.288,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.205136105180331,"[3, 1, 1]",0.3658249840959692,-0.2787,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
